fox ears,fox tail,"animal fluff, fox ears, fox tail"
cat ears,cat tail,"animal fluff, cat ears, cat tail"
wolf ears,wolf tail,"animal fluff, wolf ears, wolf tail"
dog ears,dog tail,"animal fluff, dog ears, dog tail"
bear ears,bear tail,"animal fluff, bear ears, bear tail"
rabbit ears,rabbit tail,"animal fluff, rabbit ears, rabbit tail"
bunny ears,bunny tail,"animal fluff, bunny ears, bunny tail"
tiger ears,tiger tail,"animal fluff, tiger ears, tiger tail"
lion ears,lion tail,"animal fluff, lion ears, lion tail"
leopard ears,leopard tail,"animal fluff, leopard ears, leopard tail"
panther ears,panther tail,"animal fluff, panther ears, panther tail"
raccoon ears,raccoon tail,"animal fluff, raccoon ears, raccoon tail"
mouse ears,deer tail,"animal fluff, deer ears, deer tail"
deer ears,horse tail,"animal fluff, horse ears, horse tail"
horse ears,cow tail,"animal fluff, cow ears, cow tail"
cow ears,goat tail,"animal fluff, goat ears, goat tail"
goat ears,sheep tail,"animal fluff, sheep ears, sheep tail"
sheep ears,bat tail,"animal fluff, bat ears, bat tail"
bat ears,dragon tail,"animal fluff, dragon ears, dragon tail"
dragon ears,demon tail,"animal fluff, demon ears, demon tail"
demon ears,oni tail,"animal fluff, oni ears, oni tail"
oni ears,fox spirit tail,"animal fluff, kitsune ears, kitsune tail"
elf ears,kitsune tail,"animal fluff, tanuki ears, tanuki tail"
fox spirit ears,tanuki tail,"animal fluff, panda ears, panda tail"
kitsune ears,panda tail,"animal fluff, koala ears, koala tail"
tanuki ears,koala tail,"animal fluff, squirrel ears, squirrel tail"
panda ears,squirrel tail,"animal fluff, mouse ears, mouse tail"
koala ears,mouse tail,"animal fluff, rat ears, rat tail"
bear cub ears,rat tail,"animal fluff, snake ears, snake tail"
husky ears,snake tail,"animal fluff, lizard ears, lizard tail"
malamute ears,lizard tail,"animal fluff, reptile ears, reptile tail"
corgi ears,gecko tail,"animal fluff, fish ears, fish tail"
feline ears,reptile tail,"animal fluff, shark ears, shark tail"
canine ears,fish tail,"animal fluff, dolphin ears, dolphin tail"
reptile ears,shark tail,"animal fluff, whale ears, whale tail"
alien ears,dolphin tail,"animal fluff, moth ears, moth tail"
angelic ears,whale tail,"animal fluff, butterfly ears, butterfly tail"
mechanical ears,frog tail,"animal fluff, bird ears, bird tail"
cybernetic ears,insect tail,"animal fluff, owl ears, owl tail"
metallic ears,moth tail,"animal fluff, raven ears, raven tail"
crystal ears,butterfly tail,"animal fluff, eagle ears, eagle tail"
glowing ears,bird tail,"animal fluff, phoenix ears, phoenix tail"
shadow beast ears,owl tail,"animal fluff, peacock ears, peacock tail"
spirit beast ears,raven tail,"animal fluff, swan ears, swan tail"
ethereal ears,eagle tail,"animal fluff, serpent ears, serpent tail"
ghostly ears,phoenix tail,"animal fluff, chimera ears, chimera tail"
aquatic ears,peacock tail,"animal fluff, beast ears, beast tail"
fish ears,swan tail,"animal fluff, spirit beast ears, spirit beast tail"
shark ears,serpent tail,"animal fluff, shadow beast ears, shadow beast tail"
dolphin ears,chimera tail,"animal fluff, elemental beast ears, elemental beast tail"
whale ears,beast tail,"animal fluff, crystal beast ears, crystal beast tail"
squid ears,spirit beast tail,"animal fluff, glowing beast ears, glowing beast tail"
insectoid ears,shadow beast tail,"animal fluff, metallic beast ears, metallic beast tail"
moth ears,elemental tail,"animal fluff, mechanical beast ears, mechanical beast tail"
butterfly ears,crystal tail,"animal fluff, cybernetic beast ears, cybernetic beast tail"
bird ears,glowing tail,"animal fluff, robotic beast ears, robotic beast tail"
owl ears,metallic tail,"animal fluff, alien ears, alien tail"
raven ears,mechanical tail,"animal fluff, angel ears, angel tail"
eagle ears,cybernetic tail,"animal fluff, ghost ears, ghost tail"
phoenix ears,robotic tail,"animal fluff, ethereal ears, ethereal tail"
,alien tail,"animal fluff, spectral ears, spectral tail"
,demon tail,"animal fluff, magical beast ears, magical beast tail"
,angel tail,"animal fluff, cursed beast ears, cursed beast tail"
,ghost tail,"animal fluff, holy beast ears, holy beast tail"
,ethereal tail,"animal fluff, corrupted beast ears, corrupted beast tail"
,spectral tail,"animal fluff, nine tails ears, nine tails"
,magical tail,"animal fluff, fluffy ears, fluffy tail"
,cursed tail,"animal fluff, long ears, long tail"
,holy tail,"animal fluff, short ears, short tail"
,corrupted tail,"animal fluff, spiked ears, spiked tail"
,multi tails,"animal fluff, scaled ears, scaled tail"
,twin tails,"animal fluff, feathered ears, feathered tail"
,nine tails,"animal fluff, glowing ears, glowing tail"
,long tail,"animal fluff, crystal ears, crystal tail"
,short tail,"animal fluff, mechanical ears, mechanical tail"
,fluffy tail,"animal fluff, cybernetic ears, cybernetic tail"
,spiked tail,"animal fluff, metallic ears, metallic tail"
,scaled tail,"animal fluff, spirit ears, spirit tail"
,segmented tail,"animal fluff, shadow ears, shadow tail"
,smooth tail,"animal fluff, water beast ears, aquatic tail"
,furry tail,"animal fluff, fire beast ears, flame tail"
,feathered tail,"animal fluff, ice beast ears, ice tail"
,crystalized tail,"animal fluff, lightning beast ears, lightning tail"
,glowing ribbon tail,"animal fluff, wind beast ears, wind tail"
,flame tail,"animal fluff, earth beast ears, sand tail"
,ice tail,"animal fluff, lava beast ears, lava tail"
,lightning tail,"animal fluff, toxic beast ears, toxic tail"
,wind tail,"animal fluff, slime beast ears, slime tail"
,water tail,"animal fluff, energy beast ears, energy tail"
,sand tail,"lava beast ears, lava tail"
,lava tail,"toxic beast ears, toxic tail"
,toxic tail,"slime beast ears, slime tail"
,slime tail,"liquid beast ears, liquid tail"
,liquid tail,"energy beast ears, energy tail"
,energy tail,
