amber eyes,diamond-shaped pupils,normal sclera,no makeup,,glowing eyes,half-closed eyes,;<,dreamy eyes,human eyes
amethyst eyes,flower-shaped pupils,white sclera,natural makeup,bandage over one eye,button eyes,closed eyes,;>,curious eyes,elf eyes
aqua eyes,heart-shaped pupils,black sclera,light makeup,bandage covering both eyes,cephalopod eyes,one eye closed,;p,confident eyes,dwarf eyes
ashen eyes,star-shaped pupils,blue sclera,heavy makeup,eye patch,compound eyes,blinking,:P,neutral eyes,orc eyes
black eyes,solid circle pupils,dark blue sclera,eyeliner,blindfold,lens eyes,winking,> <,mysterious eyes,goblin eyes
blue eyes,cross-shaped pupils,green sclera,black eyeliner,cloth wrap around head,pixel eyes,eyes shut tight,>_<,angry eyes,vampire eyes
bronze eyes,snowflakes-shaped_pupils,emerald sclera,smoky eyeliner,torn bandage,crazy eyes,squinting eyes,<3,innocent eyes,werewolf eyes
brown eyes,power symbol-shaped pupils,yellow sclera,gothic eyeliner,scar near eye,empty eyes,wince,X3,calm eyes,demon eyes
caramel eyes,crosshair pupils,amber sclera,colored eyeliner,,dashed eyes,narrowed eyes,XD,seductive eyes,angel eyes
charcoal eyes,constricted pupils,orange sclera,winged eyeliner,tattoo under eyes,mechanical eyes,wide open eyes,DX,playful eyes,fallen angel eyes
coffee eyes,dilated pupils,red sclera,double eyeliner,,magic aura,glancing sideways,O_o,focused eyes,succubus eyes
copper eyes,extra pupils,crimson sclera,eyeshadow,,digital pattern,looking up,o_O,determined eyes,fairy eyes
coral eyes,horizontal pupils,violet sclera,glitter eyeshadow,piercing near eye,crystal texture,looking down,0_0,serious eyes,nymph eyes
crimson eyes,no pupils,pink sclera,metallic eyeshadow,eyebrow piercing,organic pattern,looking away,O_O,ethereal eyes,mermaid eyes
crystal eyes,slit pupils,grey sclera,matte eyeshadow,,glass eyes,staring,3_3,joyful eyes,dryad eyes
dark blue eyes,cat-like pupils,silver sclera,gold shimmer,glasses,cybernetic eyes,intense gaze,6_9,thoughtful eyes,dragon eyes
dark brown eyes,round pupils,gold sclera,soft shimmer,round glasses,stone eyes,blank stare,9_6,tired eyes,wyvern eyes
dark green eyes,,brown sclera,silver shimmer,square glasses,neon glow,rolling eyes,@_@,worried eyes,snake eyes
dark grey eyes,,dark sclera,cybernetic glow,tinted glasses,bioluminescent eyes,teary eyes,^_^,sad eyes,cat eyes
dark pink eyes,,mismatched sclera,holographic shimmer,colorful glasses,holographic eyes,watering eyes,-_-,crying eyes,wolf eyes
dark red eyes,,no sclera,bioluminescent glow,monocle,infrared vision,sleepy eyes,._.,tearful eyes,fox eyes
dark yellow eyes,,,freckles under eyes,sunglasses,x-ray eyes,resting eyes,>o<,sleepy eyes,bird eyes
deep purple eyes,,blank eyes (white sclera),dark shadow,goggles,void eyes,crying eyes,<o>,blank eyes,owl eyes
electric blue eyes,,glowing sclera,pink blush,flight goggles,reptilian shine,twitching eyes,<o> <o>,cold eyes,eagle eyes
emerald eyes,,,rosy cheeks,steampunk goggles,demonic eyes,fluttering eyes,<|>_<|>,soft eyes,insectoid eyes
forest green eyes,,milky sclera,tear makeup,visor,angelic radiance,,|_|,gentle eyes,arachnid eyes
frost white eyes,,veined sclera,mascara,tactical visor,fractal reflection,,^ ^,happy eyes,cephalopod eyes
glowing red eyes,,mechanical sclera,heavy mascara,transparent visor,liquid eyes,,~_~,lonely eyes,fish eyes
gold eyes,,crystal sclera,colored mascara,,,,u_u,fearful eyes,amphibian eyes
green eyes,,liquid sclera,eyelashes,cybernetic implant,,,U_U,terrified eyes,alien eyes
grey eyes,,,long eyelashes,,,,> w <,intense eyes,android eyes
hazel eyes,,corrupted sclera,colored eyelashes,,,,< w >,menacing eyes,cyborg eyes
honey eyes,,bloodshot eyes,fake eyelashes,,,,ò_ó,wild eyes,robot eyes
icy blue eyes,,,curled eyelashes,,,,ó_ò,crazy eyes,mutant eyes
indigo eyes,,,thick eyelashes,holographic lens,,,T_T,sharp eyes,zombie eyes
lavender eyes,,,eyes visible through hair,floating lens device,,,;_;,dull eyes,ghost eyes
light blue eyes,,,mark under eyes,metal frame around eye,,,._.;,melancholic eyes,spirit eyes
light brown eyes,,,runes around eyes,protective mask,,,Q_Q,daydreaming eyes,shadow entity eyes
light green eyes,,,glitter dust,half mask covering eyes,,,x_x,hopeful eyes,
light grey eyes,,,sparkling makeup,eyepiece,,,>.<,relaxed eyes,
magenta eyes,,,,,,,:3,confused eyes,
midnight blue eyes,,,,,,,,surprised eyes,
mint green eyes,,,,,,,,wide eyes,
moonlight eyes,,,,,,,,narrow eyes,
moss green eyes,,,,,,,,glowing eyes,
neon green eyes,,,,,,,,piercing eyes,
obsidian eyes,,,,,,,,blank stare eyes,beast hybrid eyes
onyx eyes,,,,,,,,empty eyes,chimera eyes
opal eyes,,,,,,,,frozen eyes,
orange eyes,,,,,,,,lifeless eyes,
pastel pink eyes,,,,,,,,,artificial human eyes
peach eyes,,,,,,,,,
pearl eyes,,,,,,,,,
pink eyes,,,,,,,,,
purple eyes,,,,,,,,,
red eyes,,,,,,,,,
rose eyes,,,,,,,,,
ruby eyes,,,,,,,,,
sand eyes,,,,,,,,,
sapphire eyes,,,,,,,,,
seafoam eyes,,,,,,,,,
shadow eyes,,,,,,,,,
silver eyes,,,,,,,,,
sky blue eyes,,,,,,,,,
smoky grey eyes,,,,,,,,,
stormy grey eyes,,,,,,,,,
sunset orange eyes,,,,,,,,,
teal eyes,,,,,,,,,
topaz eyes,,,,,,,,,
turquoise eyes,,,,,,,,,
violet eyes,,,,,,,,,
white eyes,,,,,,,,,
yellow eyes,,,,,,,,,
