Color,Color style,length,hair cut,accessories.,tail/pony tail,Hat / crown,animal ear,,,,,
aqua hair,two-tone hair,absurdly long hair,asymmetrical sidelocks,bandana,ponytail,angelic hood,"animal ear fluff, fox ears",,,"animal tail fluff, fox tail","animal ear fluff, fox ears","animal fluff, fox ears, fox tail"
black hair,colored inner hair,bald,bantu knots,barette with gem,folded ponytail,animal hood,"animal ear fluff, cat ears",,,"animal tail fluff, cat tail","animal ear fluff, cat ears","animal fluff, cat ears, cat tail"
blonde hair,colored tips hair,big hair,bob cut,barrette,front ponytail,astronaut helmet,"animal ear fluff, wolf ears",,,"animal tail fluff, wolf tail","animal ear fluff, wolf ears","animal fluff, wolf ears, wolf tail"
blue hair,hair roots,flower-shaped hair,bow-shaped hair,beaded clip,high ponytail,aviator cap,"animal ear fluff, dog ears",,,"animal tail fluff, dog tail","animal ear fluff, dog ears","animal fluff, dog ears, dog tail"
brown hair,gradient hair,long hair,bowl cut,beaded headband,short ponytail,bamboo hat,"animal ear fluff, bear ears",,,"animal tail fluff, bear tail","animal ear fluff, bear ears","animal fluff, bear ears, bear tail"
green hair,patterned hair,long hair,buzz cut,big hair bow,side ponytail,baseball cap,"animal ear fluff, rabbit ears",,,"animal tail fluff, rabbit tail","animal ear fluff, rabbit ears","animal fluff, rabbit ears, rabbit tail"
grey hair,rainbow hair,medium hair,cornrows,braid ribbon,split ponytail,beanie,"animal ear fluff, bunny ears",,,"animal tail fluff, bunny tail","animal ear fluff, bunny ears","animal fluff, bunny ears, bunny tail"
orange hair,split-color hair,medium hair,crew cut,butterfly clip,multi-tied hair,bear hood,"animal ear fluff, tiger ears",,,"animal tail fluff, tiger tail","animal ear fluff, tiger ears","animal fluff, tiger ears, tiger tail"
pink hair,spotted hair,short hair,curly hair,chains in hair,twintails,beret,"animal ear fluff, lion ears",,,"animal tail fluff, lion tail","animal ear fluff, lion ears","animal fluff, lion ears, lion tail"
purple hair,streaked hair,short hair,curtained hair,chopsticks in hair,low twintails,beret with badge,"animal ear fluff, leopard ears",,,"animal tail fluff, leopard tail","animal ear fluff, leopard ears","animal fluff, leopard ears, leopard tail"
red hair,striped hair,very long hair,dreadlocks,colorful hair clip,short twintails,biker helmet,"animal ear fluff, panther ears",,,"animal tail fluff, panther tail","animal ear fluff, panther ears","animal fluff, panther ears, panther tail"
white hair,translucent hair,very long hair,drill hair,crystal clip,uneven twintails,boater hat,"animal ear fluff, raccoon ears",,,"animal tail fluff, raccoon tail","animal ear fluff, raccoon ears","animal fluff, raccoon ears, raccoon tail"
multicolored hair,,very short hair,drill sidelocks,decorative hair stick,tri tails,bowler hat,"animal ear fluff, mouse ears",,,"animal tail fluff, deer tail","animal ear fluff, mouse ears","animal fluff, deer ears, deer tail"
alternate hair color,,,feixianji,decorative hairpin,quad tails,bucket hat,"animal ear fluff, deer ears",,,"animal tail fluff, horse tail","animal ear fluff, deer ears","animal fluff, horse ears, horse tail"
light blonde hair,,,fluffy hair,earphones,quin tails,camouflage helmet,"animal ear fluff, horse ears",,,"animal tail fluff, cow tail","animal ear fluff, horse ears","animal fluff, cow ears, cow tail"
dark blonde hair,,,four leaf clover hairstyle,feather clip,bangs,cap,"animal ear fluff, cow ears",,,"animal tail fluff, goat tail","animal ear fluff, cow ears","animal fluff, goat ears, goat tail"
light brown hair,,,hair between eyes,floating halo,arched bangs,cat hood,"animal ear fluff, goat ears",,,"animal tail fluff, sheep tail","animal ear fluff, goat ears","animal fluff, sheep ears, sheep tail"
dark brown hair,,,hair intakes,flower clip,asymmetrical bangs,cleric hood,"animal ear fluff, sheep ears",,,"animal tail fluff, bat tail","animal ear fluff, sheep ears","animal fluff, bat ears, bat tail"
light blue hair,,,hair over eyes,flower crown,bangs pinned back,combat helmet,"animal ear fluff, bat ears",,,"animal tail fluff, dragon tail","animal ear fluff, bat ears","animal fluff, dragon ears, dragon tail"
dark blue hair,,,hair over one eye,flowers in hair,blunt bangs,conical hat,"animal ear fluff, dragon ears",,,"animal tail fluff, demon tail","animal ear fluff, dragon ears","animal fluff, demon ears, demon tail"
light green hair,,,hair pulled back,gem clip,braided bangs,cowboy hat,"animal ear fluff, demon ears",,,"animal tail fluff, oni tail","animal ear fluff, demon ears","animal fluff, oni ears, oni tail"
dark green hair,,,hair rings,glitter dust in hair,crossed bangs,crown,"animal ear fluff, oni ears",,,"animal tail fluff, fox spirit tail","animal ear fluff, oni ears","animal fluff, kitsune ears, kitsune tail"
light pink hair,,,hair slicked back,glowing halo,wispy bangs,crystal crown,"animal ear fluff, elf ears",,,"animal tail fluff, kitsune tail","animal ear fluff, elf ears","animal fluff, tanuki ears, tanuki tail"
dark pink hair,,,hime cut,glowing particles in hair,choppy bangs,cyber crown,"animal ear fluff, fox spirit ears",,,"animal tail fluff, tanuki tail","animal ear fluff, fox spirit ears","animal fluff, panda ears, panda tail"
light purple hair,,,inverted bob,glowing wires,diagonal bangs,demon hood,"animal ear fluff, kitsune ears",,,"animal tail fluff, panda tail","animal ear fluff, kitsune ears","animal fluff, koala ears, koala tail"
dark purple hair,,,katsuyamamage,goggles,fanged bangs,diving helmet,"animal ear fluff, tanuki ears",,,"animal tail fluff, koala tail","animal ear fluff, tanuki ears","animal fluff, squirrel ears, squirrel tail"
silver hair,,,low-tied sidelocks,gold hairpin,short bangs,dragon hood,"animal ear fluff, panda ears",,,"animal tail fluff, squirrel tail","animal ear fluff, panda ears","animal fluff, mouse ears, mouse tail"
platinum hair,,,messy hair,hair beads,long bangs,executioner hood,"animal ear fluff, koala ears",,,"animal tail fluff, mouse tail","animal ear fluff, koala ears","animal fluff, rat ears, rat tail"
ash blonde hair,,,mizura,hair bow,parted bangs,fedora,"animal ear fluff, bear cub ears",,,"animal tail fluff, rat tail","animal ear fluff, bear cub ears","animal fluff, snake ears, snake tail"
golden blonde hair,,,mohawk,hair charms,braided bangs,fire crown,"animal ear fluff, husky ears",,,"animal tail fluff, snake tail","animal ear fluff, husky ears","animal fluff, lizard ears, lizard tail"
strawberry blonde hair,,,mullet,hair clip,swept bangs,fisherman hat,"animal ear fluff, malamute ears",,,"animal tail fluff, lizard tail","animal ear fluff, malamute ears","animal fluff, reptile ears, reptile tail"
chestnut hair,,,nihongami,hair ribbon,colored bangs,flat cap,"animal ear fluff, corgi ears",,,"animal tail fluff, gecko tail","animal ear fluff, corgi ears","animal fluff, fish ears, fish tail"
auburn hair,,,pixie cut,hair rings,multiple braids,flight goggles,"animal ear fluff, feline ears",,,"animal tail fluff, reptile tail","animal ear fluff, feline ears","animal fluff, shark ears, shark tail"
copper hair,,,pointy hair,hair stick,twin braids,flower crown,"animal ear fluff, canine ears",,,"animal tail fluff, fish tail","animal ear fluff, canine ears","animal fluff, dolphin ears, dolphin tail"
bronze hair,,,rabbit hairstyle,hairpin,low twin braids,fox hood,"animal ear fluff, reptile ears",,,"animal tail fluff, shark tail","animal ear fluff, reptile ears","animal fluff, whale ears, whale tail"
honey hair,,,ringlets,halo,tri braids,fur hood,"animal ear fluff, alien ears",,,"animal tail fluff, dolphin tail","animal ear fluff, alien ears","animal fluff, moth ears, moth tail"
caramel hair,,,shuangyaji,headband,quad braids,gas mask helmet,"animal ear fluff, angelic ears",,,"animal tail fluff, whale tail","animal ear fluff, angelic ears","animal fluff, butterfly ears, butterfly tail"
espresso hair,,,sidecut,headset,african braids,gladiator helmet,"animal ear fluff, mechanical ears",,,"animal tail fluff, frog tail","animal ear fluff, mechanical ears","animal fluff, bird ears, bird tail"
midnight black hair,,,sidelocks,heart clip,braid,glowing crown,"animal ear fluff, cybernetic ears",,,"animal tail fluff, insect tail","animal ear fluff, cybernetic ears","animal fluff, owl ears, owl tail"
jet black hair,,,sidelocks tied back,jeweled barrette,front braid,goggles,"animal ear fluff, metallic ears",,,"animal tail fluff, moth tail","animal ear fluff, metallic ears","animal fluff, raven ears, raven tail"
icy blue hair,,,single hair intake,lace bow,side braid,gold crown,"animal ear fluff, crystal ears",,,"animal tail fluff, butterfly tail","animal ear fluff, crystal ears","animal fluff, eagle ears, eagle tail"
turquoise hair,,,single hair ring,lace headband,crown braid,halo crown,"animal ear fluff, glowing ears",,,"animal tail fluff, bird tail","animal ear fluff, glowing ears","animal fluff, phoenix ears, phoenix tail"
teal hair,,,single sidelock,leaf crown,single braid,hat,"animal ear fluff, shadow beast ears",,,"animal tail fluff, owl tail","animal ear fluff, shadow beast ears","animal fluff, peacock ears, peacock tail"
mint green hair,,,spiked hair,leaves in hair,hair bun,helmet,"animal ear fluff, spirit beast ears",,,"animal tail fluff, raven tail","animal ear fluff, spirit beast ears","animal fluff, swan ears, swan tail"
forest green hair,,,star-shaped hair,mechanical hair frame,braided bun,holographic visor,"animal ear fluff, ethereal ears",,,"animal tail fluff, eagle tail","animal ear fluff, ethereal ears","animal fluff, serpent ears, serpent tail"
emerald hair,,,straight hair,metal clip,single hair bun,hood,"animal ear fluff, ghostly ears",,,"animal tail fluff, phoenix tail","animal ear fluff, ghostly ears","animal fluff, chimera ears, chimera tail"
ruby red hair,,,topknot,metal headband,double bun,horned helmet,"animal ear fluff, aquatic ears",,,"animal tail fluff, peacock tail","animal ear fluff, aquatic ears","animal fluff, beast ears, beast tail"
crimson hair,,,tri drills,metal wires in hair,cone hair bun,ice crown,"animal ear fluff, fish ears",,,"animal tail fluff, swan tail","animal ear fluff, fish ears","animal fluff, spirit beast ears, spirit beast tail"
magenta hair,,,twin drills,pearl clip,donut hair bun,iron crown,"animal ear fluff, shark ears",,,"animal tail fluff, serpent tail","animal ear fluff, shark ears","animal fluff, shadow beast ears, shadow beast tail"
lavender hair,,,twisted hair,ribbon headband,heart hair bun,knight helmet,"animal ear fluff, dolphin ears",,,"animal tail fluff, chimera tail","animal ear fluff, dolphin ears","animal fluff, elemental beast ears, elemental beast tail"
